"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","04.01.2021 18:00 - 04.01.2021 19:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","74","2862","n/e","n/e","0","10","n/e","5","n/e","69"
"BZN|NO3","04.01.2021 19:00 - 04.01.2021 20:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","69","2796","n/e","n/e","0","9","n/e","5","n/e","90"
"BZN|NO3","04.01.2021 20:00 - 04.01.2021 21:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","69","2768","n/e","n/e","0","9","n/e","5","n/e","53"
"BZN|NO3","04.01.2021 21:00 - 04.01.2021 22:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","65","2737","n/e","n/e","0","9","n/e","5","n/e","74"
"BZN|NO3","04.01.2021 22:00 - 04.01.2021 23:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","57","2708","n/e","n/e","0","9","n/e","4","n/e","53"
"BZN|NO3","04.01.2021 23:00 - 05.01.2021 00:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","54","2405","n/e","n/e","0","10","n/e","2","n/e","31"
"BZN|NO3","05.01.2021 00:00 - 05.01.2021 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","54","2389","n/e","n/e","0","10","n/e","1","n/e","20"
"BZN|NO3","05.01.2021 01:00 - 05.01.2021 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","54","2377","n/e","n/e","0","10","n/e","0","n/e","10"
"BZN|NO3","05.01.2021 02:00 - 05.01.2021 03:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","54","2385","n/e","n/e","0","11","n/e","0","n/e","14"
"BZN|NO3","05.01.2021 03:00 - 05.01.2021 04:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","54","2396","n/e","n/e","0","9","n/e","1","n/e","10"
"BZN|NO3","05.01.2021 04:00 - 05.01.2021 05:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","180","","54","2487","n/e","n/e","0","9","n/e","3","n/e","6"
"BZN|NO3","05.01.2021 05:00 - 05.01.2021 06:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","57","2601","n/e","n/e","0","8","n/e","3","n/e","6"
"BZN|NO3","05.01.2021 06:00 - 05.01.2021 07:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","181","","67","2752","n/e","n/e","0","16","n/e","4","n/e","18"
